x,y,error
-78.083466,33.808838,-14.2538706308
-78.076904,33.809414,-14.1971903206
-78.070915,33.810455,-13.9436816247
-78.066414,33.806099,-14.3993652197
-78.060783,33.802078,-14.0002976985
-78.056122,33.803223,-13.2185312146
-78.052299,33.803253,-12.7306113745
-78.04985,33.79916,-12.2252498444
-78.045685,33.798958,-12.2281006258
-78.042557,33.79388,-13.5659428626
-78.03714,33.79493,-13.8639437938
-78.032265,33.793472,-13.908796781
-78.028633,33.78875,-13.931779038
-78.024933,33.784462,-14.2489135014
-78.02037,33.779785,-14.5072503722
-78.014351,33.780525,-14.2577972124
-78.008179,33.781338,-14.0090512276
-78.003258,33.776508,-13.9035587774
-77.997055,33.772976,-13.3964513398
-77.992119,33.769253,-13.6908954229
-77.99157,33.764137,-14.2639164595
-77.98954,33.759155,-14.1862480169
-77.984627,33.759686,-13.7948396701
-77.980644,33.756565,-13.4027295047
-77.972504,33.756062,-12.6660053165
-77.9851142866,34.0661365826,11.2490528486
-77.9876796131,34.0661895871,10.6370252708
-77.9887577931,34.0639222983,9.1334322656
-77.9904561216,34.0615374159,12.5619539367
-77.9918199832,34.0590824211,12.2461945258
-77.9923354354,34.0565985614,10.0308008924
-77.995153675,34.0562100534,12.4714558925
-77.995804018,34.053522568,11.8162213406
-77.9972264715,34.0505508745,12.9210147815
-77.9954870832,34.048305144,13.3144803647
-77.9956579937,34.0455477118,10.2135532992
-77.9958913066,34.0426594424,4.6901837859
-77.9966556424,34.0394764034,3.7329028524
-77.9969468496,34.0363841514,4.2251321421
-77.9969471013,34.0333146488,8.8515242747
-77.9961122121,34.0305846917,12.0504461432
-77.9979839519,34.0284370571,10.4318000355
-77.9987543267,34.0255904289,11.7746401106
-77.9988575519,34.0225149298,12.4540989099
-77.9990798028,34.0195872559,12.3325751442
-77.9995359481,34.0166695688,12.3787951116
-78.0001243806,34.0139226808,12.2588951356
-78.0008766608,34.0113345165,12.5859199215
-78.0036844304,34.0105606793,11.9355510966
-78.006537617,34.0097978588,11.0279365671
-78.0073494331,34.0069153276,10.8892243751
-78.0082753042,34.0042758497,11.3290195279
-78.0084085287,34.0017191416,12.5705658382
-78.0101003825,33.9996586648,12.8911185669
-78.0127702552,34.0001747438,11.8723412772
-78.0140167401,33.9974701942,10.9433933312
-78.0147673364,33.99508216,10.8370362173
-78.0150332219,33.9931454436,10.5865805003
-78.0158645475,33.9915830163,10.4809120241
-78.0180830491,33.991539452,11.1237234299
-78.0206205099,33.9909015899,11.2024322323
-78.022226768,33.988800597,11.1825745858
-78.0238507291,33.9870420141,10.6962374775
-78.0244925173,33.9852327878,10.4790362075
-78.0262234033,33.984654633,10.7346813106
-78.0277881229,33.9848611608,11.0017562445
-78.0296068644,33.9842116007,11.3828655878
-78.0301343614,33.982102212,11.4942578225
-78.0331079888,33.9815719076,11.989745198
-78.0341978438,33.9782444557,11.7316905914
-78.0377233044,33.9781906534,12.0415301308
-78.0410139675,33.9777795048,12.5324849232
-78.0421778469,33.9729316223,11.9896158483
-78.0457105103,33.9722697167,12.080715461
-78.0493233498,33.9714570741,12.0963214345
-78.0529844738,33.9705438298,12.3153155468
-78.0566847854,33.969521545,13.0420764729
-78.060341,33.96814,14.0648482828
-78.06395,33.966942,14.4548785349
-78.067352,33.965401,14.0402754888
-78.070297,33.9632,13.7539994767
-78.073196,33.96574,14.3154236731
-78.076378,33.965408,14.3751266298
-78.079689,33.964439,13.8273044906
-78.082611,33.963428,12.8565239143
-78.085167,33.962719,12.2802058658
-78.087212,33.961632,13.4443967311
-78.089943,33.962059,14.0302456707
-78.093531,33.961694,14.4091459975
-78.097626,33.960766,14.7352312212
-78.102369,33.960814,14.8818070996
-78.106915,33.959364,15.2088962216
-78.11149,33.958807,15.9237783316
-78.115824,33.957847,16.3222365727
-78.120146,33.956307,16.7714833809
-78.124499,33.955565,17.0444923107
-78.128473,33.954361,17.6111309395
-78.131599,33.957602,17.5887847165
-78.134418,33.961402,16.6910507048
-78.120087,33.826519,-13.9033151792
-78.116867,33.8279,-14.0437739511
-78.113533,33.827309,-14.2113605118
-78.110313,33.828587,-14.1997771551
-78.106987,33.828049,-14.4255080054
-78.103081,33.829189,-14.4607305532
-78.09919,33.830936,-14.0447592471
-78.096291,33.828239,-13.9289043017
-78.0933,33.825287,-13.8529415666
-78.090538,33.821995,-13.6803383928
-78.087326,33.818867,-13.8032435118
-78.083702,33.816833,-13.7772054243
-78.081078,33.813324,-14.1294868144
-78.075653,33.814232,-13.9465727168
-78.071632,33.815723,-13.6371938602
-78.068153,33.813808,-13.6114084877
-78.065193,33.811077,-14.020016033
-78.062202,33.807404,-14.1382565421
-78.058426,33.807049,-13.5304360985
-78.054588,33.80759,-12.9489108617
-78.051033,33.80843,-12.6601917576
-78.048447,33.803989,-12.4101725752
-78.044952,33.804554,-12.2054135694
-78.041237,33.800205,-12.4203102117
-78.037079,33.800999,-12.8549863089
-78.032654,33.799438,-13.5683982535
-78.028053,33.794716,-13.4891593503
-78.022858,33.790367,-13.6355428618
-78.018898,33.785233,-14.1961289043
-78.01297,33.785824,-13.8696055973
-78.007454,33.786652,-13.4817333053
-78.002396,33.783184,-13.592624898
-77.998161,33.779285,-13.5045092982
-77.994331,33.777279,-13.1839833705
-77.991608,33.773849,-12.9059689561
-77.987907,33.771446,-13.0194826324
-77.987976,33.767159,-13.884437903
-77.987602,33.762894,-14.0522077051
-77.984245,33.764709,-13.6980011439
-77.980576,33.761738,-13.2272650674
-77.976494,33.759052,-12.802769791
-77.972008,33.760902,-12.2287053175
-77.96804,33.757923,-12.0570970987
-77.9826716762,34.0660305488,10.8938067545
-77.9836369855,34.0639546892,10.0603837423
-77.9861249282,34.063935396,9.9935269051
-77.9877965777,34.0616707382,11.7959090585
-77.9891244909,34.059333585,13.1782968298
-77.9896552734,34.0569680348,9.7118985175
-77.990240539,34.0545375153,7.4818247477
-77.9929526139,34.0540429445,9.7923375159
-77.9943112763,34.0512162225,11.9321115545
-77.9926728832,34.0490754368,12.8132919811
-77.9928608136,34.0464466297,9.310251182
-77.9931202649,34.0436916144,4.4870273174
-77.9938980975,34.0406568754,2.7048331493
-77.9942360656,34.0377056075,3.7996567157
-77.994333044,34.0347819517,7.9736633019
-77.9937113844,34.0322338522,11.3615137663
-77.9926357459,34.0299648368,12.4390881344
-77.9946630302,34.0281054859,11.6625427136
-77.9960659126,34.0260007369,11.7027414855
-77.9961712432,34.0233756181,12.2773518629
-77.99633657,34.0203390612,11.8435678878
-77.9969388381,34.0173852379,11.7406257073
-77.9974538622,34.014693759,11.8826183706
-77.9980981051,34.012141194,12.0208771004
-77.9988881079,34.0096666183,12.984249748
-78.0015956073,34.0087504841,12.5829404225
-78.0044399959,34.0078578007,11.1921445732
-78.0052594785,34.0053110886,11.2646077935
-78.0059075816,34.0030611155,11.6355931362
-78.0058196191,34.0009658351,12.8984673544
-78.0077036243,33.9992990404,13.7932226438
-78.0091518387,33.9973568403,12.6110693978
